Name,Tags,DoneDate
duna,livro/frank-hebert/scifi/fantasia/aventura/espaco,2022-07-18
ff7 yuffie,jogo/playstation/final-fantasy/final-fantasy-7/rpg/jrpg/terceira-pessoa/3d/acao/turno/fantasia/scifi/cybperunk,2022-08-11
a lenda do cavaleiro verde,audiovisual/fantasia/eua,2022-08-07
the expanse s5,audiovisual/scifi/espaco/the-expanse,2022-08-07
a rosa branca,livro/glen-cook/companhia-negra/fantasia/dark-fantasy/epica,2022-08-23
lobo solitario 27,livro/lobo-solitario/samurai,2022-08-26
O Senhor dos Anéis A Sociedade do Anel,audiovisual/fantasia/senhor-dos-aneis/tolkien/acao/aventura,2022-08-28
O Senhor dos Anéis As Duas Torres,audiovisual/fantasia/senhor-dos-aneis/tolkien/acao/aventura,2022-09-04
masterchef 8,audiovisual/reality-show/culinaria/band/masterchef/brasil,2022-09-08
sandman 12,livro/sandman/fantasia,2022-09-07
lobo solitario 28,livro/lobo-solitario/samurai,2022-09-01
o portao do obelisco,livro/n-k-jemisin/fantasia/scifi/distopia/pos-apocaliptico/alta-fantasia,2022-10-06
manifesto do partido comunista,livro/marx/engels/marxismo/comunismo/socialismo/politica,2022-10-08
o senhor dos aneis o retorno do rei,audiovisual/fantasia/senhor-dos-aneis/tolkien/acao/aventura,2022-10-09
o senhor dos aneis os aneis de poder,audiovisual/fantasia/senhor-dos-aneis/tolkien/acao/aventura,2022-09-30
the expanse s6,audiovisual/scifi/espaco/the-expanse,2022-10-09
detroit,jogo/playstation/visual-novel/terceira-pessoa/3d/escolha/qte/scifi,2022-10-08
the butcher of anderson station,livro/the-expanse/scifi/contos/espaco/espaco,2022-10-10
Cuphead,jogo/acao/plataforma/indie/bullet-hell/comedia/nintendo,2022-10-10
baba is you,jogo/quebra-cabeca/indie/nintendo/retro/dificil/programacao,2022-10-10
a revolucao albanesa,audiovisual/historia-publica/albania/marxismo/politica/socialismo,2022-10-13
realismo capitalista,audiovisual/historia-publica/marxismo/politica/comunismo/socialismo,2022-10-13
laos 1,audiovisual/historia-publica/marxismo/politica/socialismo/laos/historia,2022-10-13
porque odiamos margaret tatcher,audiovisual/historia-publica/marxismo/politica/liberalismo/inglaterra/,2022-10-13
loop hero,jogo/pc/loop-hero/roguelike/de-cima/pixel-art/deckbuilding/fantasia-medieval,2022-10-13
think thank,audiovisual/historia-publica/marxismo/politica/comunismo/socialismo/,2022-10-14
guia introdutorio ao pensamento marxista,livro/Kohan/marxismo/filosofia/politica/socialismo/,2022-10-19
Imperialismo Etapa Superior do Capitalismo,lenin/economia/politica/historia/russia/socialismo,2022-10-21
house of the dragon,audiovisual/fantasia/game-of-thrones/eua,2022-11-02
a dança dos dragões,livro/fantasia/game-of-thrones,2022-11-04
it takes two,jogo/quebra-cabeca/aventura/plataforma/3d/acao/exploracao,2022-12-04
A revolucao chilena,livro/historia/chile/america-latina/socialismo/comunismo,2022-12-11
avgn season 10,audiovisual/documentario/jogos/comedia/avgn/resenhas/historia,2022-12-14
euromaidan,audiovisual/historia-publica/ucrania/historia/nazismo/politica,2022-12-15
holodomor,audiovisual/historia-publica/marxismo/politica/socialismo/ucrania/historia/uniao-sovietica,2022-12-21
avgn season 16,audiovisual/documentario/jogos/comedia/avgn/resenhas/historia,2022-12-24
sandman,audiovisual/sandman/fantasia/eua,2022-12-25
o que e maoismo,audiovisual/livro/historia-publica/marxismo/politica/socialismo/,2023-01-03
masterchef 9,audiovisual/reality-show/culinaria/band/masterchef/brasil,2023-01-03
masterchef profissionais,audiovisual/reality-show/culinaria/band/masterchef/brasil,2023-01-03
bettlejiuce,audiovisual/fantasia/comedia/terror/classico/tim-burton,2023-01-09
Calibans War,livro/the-expanse/scifi/espaco/suspense/terror,2023-01-10
porque odiamos fernando collor,audiovisual/historia-publica/marxismo/politica/socialismo/historia,2023-01-10
integralismo,audiovisual/historia-publica/marxismo/politica/socialismo/historia,2023-01-10
principios basicos comunismo,audiovisual/historia-publica/marxismo/comunismo/socialismo/politica,2023-01-10
god of war ragnarok,jogo/god-of-war/acao/terceira-pessoa/aventura/playstation,2023-01-12
phoenix wright 2,jogo/nintendo/phoenix-wright/visual-novel/primeira-pessoa/pixel-art/quebra-cabeca/tribunal,2023-01-22
rogue legaxy 2,jogo/pc/rogue-legacy/roguelike/side-scrolling/2d/acao/fantasia-medieval,2023-01-23
aeroporto area restrita s1,audiovisual/documentario/brasil,2023-02-01
the last of us 2,jogo/playstation/the-last-of-us/acao/aventura/terror/terceira-pessoa,2023-02-06
aeroporto area restrita s2,audiovisual/documentario/brasil,2023-02-07
O Hobbit,livro/tolkien/senhor-dos-aneis/aventura/romance/epica,2023-02-07
os fabelmans,audiovisual//biografia/historia/cinema/spielberg,2023-02-15
o menu,audiovisual/drama/eua,2023-02-25
Entre facas e segredos,audiovisual/knives-out/crime/comedia/eua,2023-03-06
avgn season 11,audiovisual/documentario/jogos/comedia/avgn/resenhas/historia,2023-03-10
first non valve game in steam,audiovisual/documentario/jogos/historia/biografia/people-make-games,2023-03-10
aeroporto area restrita s3,audiovisual/documentario/brasil,2023-03-11
nes 2 top loader,audiovisual/documentario/jogos/historia/biografia/gaming-historian/computacao,2023-03-11
history of donkey kong,audiovisual/documentario/jogos/historia/biografia/gaming-historian/computacao,2023-03-11
the last of us,audiovisual/the-last-of-us/terror/drama/eua,2023-03-12
dexdrive,audiovisual/documentario/jogos/historia/biografia/gaming-historian/computacao,2023-03-16
history of star fox,audiovisual/documentario/jogos/historia/biografia/people-make-games,2023-03-16
hogwarts legacy,jogo/playstation/harry-potter/rpg/terceira-pessoa/3d/acao/fantasia,2023-03-14
vampire survivors,jogo/acao/roguelike/bullet-hell/indie/arcade/fantasia,2023-03-17
aeroporto area restrita s4,audiovisual/documentario/brasil,2023-03-21
currents of space,livro/asimov/scifi/espaco,2023-03-27
dragon quest II,jogo/nintendo/dragon-quest/rpg/jrpg/de-cima/pixel-art/turno/fantasia-medieval,2023-03-29
